provider_id,COMID_QC
USGS-01473675,4782585
USGS-014721254,4781413
USGS-014721259,4781411
USGS-01481000,4652046
USGS-01411700,9481170
USGS-01413014,9485472
USGS-0146452410,4481777
USGS-01464578,4481319
USGS-0146742496,NA
USGS-0146742498,NA
USGS-01467471,4779457
USGS-01467492,932040163
USGS-0147081729,NA
USGS-0147081739,4782939
USGS-0147081759,4782965
USGS-0147212511,NA
USGS-01473156,4781933
USGS-01473900,4781731
USGS-01475042,4495140
USGS-01477445,9481916
USGS-01477510,9480490
USGS-01478190,4651128
USGS-014806161,4650574
USGS-01480700,4648568
USGS-01480743,4648532
USGS-014807434,NA
USGS-01480875,NA
USGS-01480887,4652416
USGS-01480940,4650654
USGS-01480973,4650758
